28810;23285;26041;24557;27572;21267;24542;22318;25442;21807;25680;21162;26240;21361;26221;21021;26902;21739;27474;21317;26266;21058;26863;21025;25127;19686;26088;21036;26233;20499;26711;21614
4804;3633;4390;3483;3636;2921;2654;2751;2004;2203;1357;1599;1068;1373;1140;1326;2681;2243;2382;2080;2362;2185;2439;2199;2465;2076;2022;1907;1379;1504;1124;1152
13787;10587;14144;11973;13715;11293;15363;8824;13445;8838;13447;8590;13900;8748;13974;8671;14417;9019;14682;9040;14361;8996;14814;9133;16437;10970;16259;10838;16356;10553;16545;10895
2703;1926;2406;1417;1934;1123;1184;1334;957;1219;698;1005;650;919;646;1029;1646;1492;1721;1501;1856;1747;2018;2010;2022;2010;1691;1705;1165;1347;758;996
16355;14749;15698;14201;16445;12864;15058;12633;15494;12334;15517;11874;15818;12246;15721;12094;16244;12359;16374;12098;15976;12098;16436;12038;15372;11617;15403;11800;15603;11551;15913;12169
3145;2151;2944;2178;2462;1966;1835;1706;1455;1485;1028;1304;865;1009;932;1098;1683;1497;1738;1442;1840;1606;2059;1741;2056;1700;1768;1461;1410;1301;1366;1095
4960;3962;4511;3898;4535;3689;4570;3518;4539;3463;4599;3412;4694;3476;4645;3446;4796;3503;4858;3373;4679;3360;4781;3371;4545;3384;4609;3460;4655;3411;4695;3568
924;641;868;637;863;576;669;540;561;467;402;394;339;336;334;290;610;377;531;413;549;474;662;497;655;469;539;478;407;342;304;270
8813;6602;9090;8244;9521;7337;9196;6858;8550;6650;8651;6456;8952;6549;8941;6442;9277;6708;9476;6706;9242;6625;9428;6539;10105;7213;10025;7297;10096;7114;10260;7466
1918;1320;1741;1120;1375;896;1005;880;902;730;692;511;632;473;763;557;1314;796;1347;760;1325;853;1330;909;1405;951;1147;789;901;604;694;508
44610;35940;41799;38318;41459;32067;39711;33188;39783;32602;40438;31523;41832;32290;42198;31834;43338;33065;43312;32189;41831;32179;43443;32461;42986;32802;42686;33529;43328;32769;44440;34704
6155;3988;5089;3556;4120;3294;2842;2971;2079;2456;1449;1888;1152;1395;1349;1509;3042;2598;3485;2866;3565;3418;3836;3698;3699;3464;3325;3186;2939;2938;2369;2446
28496;24962;28884;28693;27023;22216;26272;27297;27306;25418;28680;26199;30703;26873;30432;26359;30476;27491;30389;26934;29751;27797;30097;28730;30551;29289;29686;28606;30068;28835;30274;29061
3174;2941;3146;2926;2663;2614;2229;2423;1867;2032;1441;1600;1156;1337;1174;1327;2634;2251;2701;2430;2888;2616;3019;2758;2915;2605;2646;2540;2391;2323;1727;1984
4267;3593;4266;4013;4233;3508;3917;3717;3951;3476;4025;3585;4148;3668;4200;3680;4238;3881;4288;3872;4160;3942;4214;4067;4328;3962;4279;3842;4327;3850;4319;3880
943;658;942;708;831;716;690;633;682;668;485;689;433;611;521;652;632;742;669;726;728;836;716;813;750;784;698;724;611;697;469;614
